,Human Summary,Generated Summary
459,तमिलनाडु में सामने आने वाले कोविड- के नये मामलों में कमी जारी है रविवार को राज्य में कोविड- के नये मामले सामने आये जिसमें नयी दिल्ली से वापस आया एक व्यक्ति भी शामिल है ,चेन्नई तमिलनाडु में सामने आने वाले कोविड- के नये मामलों में कमी जारी है रविवार को राज्य में कोविड- के नये मामले सामने आये जिसमें नयी दिल्ली से वापस आया एक व्यक्ति भी शामिल है इससे राज्य में कोविड- के कुल मामले बढ़कर हो गए राज्य में राज्य में कोविड- के कुल मामले बढ़कर हो गए राज्य में जुलाई से मामलों
460,दिल्ली की तिहाड़ जेल में बंद राष्ट्रीय जनता दल के पूर्व सांसद और बाहुबली शहाबुद्दीन को भी कोरोना वायरस का संक्रमण हुआ है ,नई दिल्ली दिल्ली की तिहाड़ जेल में बंद राष्ट्रीय जनता दल के पूर्व सांसद और बाहुबली शहाबुद्दीन को भी कोरोना कोरोना वायरस का संक्रमण हुआ है लक्षण मिलने के बाद शहाबुद्दीन का कोरोना टेस्ट करवाया गया था और रिपोर्ट पॉजिटिव मिली है स्वास्थ्य खराब होने के बाद शहाबुद्दीन को डीडीयू अस्पताल में भर्ती कराया गया है हालांकि तिहाड़ जेल जेल जेल
461,कोरिया जिले में भरतपुर-सोनहट सीट से कांग्रेस के विधायक गुलाब कमरो का एक वीडियो सोशल मीडिया पर काफी वायरल हो रहा है ,कोरिया छत्तीसगढ़ कोरिया जिले में भरतपुर-सोनहट सीट से कांग्रेस के विधायक गुलाब कमरो का एक वीडियो सोशल मीडिया पर काफी वायरल हो रहा है वीडियो में गुलाब कमरो मंच पर महिला डांसर के साथ डांस करते हुए दिखाई दे रहे हैं और इस दौरान उनके समर्थक तालियां बजा रहे हैं तथा नोट उड़ा रहे हैं वीडियो वायरल होने के बाद विपक्ष दल कम
462,केंद्रीय पेट्रोलियम मंत्री धर्मेंद्र प्रधान ने कांग्रेस नेता शशि थरूर के लाहौर के एक कार्यक्रम में दिए गए बयान को लेकर कहा है कि कांग्रेस का नेतृत्व पाकिस्तान की भाषा बोल रहा है ,रायपुर केंद्रीय पेट्रोलियम मंत्री धर्मेंद्र प्रधान ने कांग्रेस नेता शशि थरूर के लाहौर के एक कार्यक्रम में के लाख को लेकर कहा है कि कांग्रेस का नेतृत्व पाकिस्तान की भाषा बोल रहा है रायपुर में आयोजित छत्तीसगढ़ भारतीय जनता पार्टी की कार्य समिति की बैठक को दिल्ली से संबोधित करते हुए प्रधान ने लद्दाख में भारतीय और चीनी सेना के बीच हुई झड़प को लेकर भारत सरकार पर सवाल उठाए जाने पर भी
463,लड़ाकू विमान बनाने वाली फ्रांस की कंपनी दसॉ एविएशन और यूरोप की मिसाइल निर्माता कंपनी एमबीडीए ने राफेल जेट की खरीद से संबंधित सौदे के हिस्से के रूप में भारत को उच्च प्रौद्योगिकी की पेशकश के अपने ऑफसेट दायित्वों को अभी तक पूरा नहीं किया है ,नयी दिल्ली लड़ाकू विमान बनाने वाली फ्रांस की कंपनी दसॉ एविएशन और यूरोप की मिसाइल निर्माता कंपनी एमबीडीए ने राफेल जेट की खरीद से संबंधित सौदे के हिस्से के रूप में भारत को उच्च प्रौद्योगिकी की पेशकश के अपने ऑफसेट दायित्वों को अभी तक पूरा नहीं किया है भारत के नियंत्रक एवं महालेखा परीक्षक कैग की बुधवार को जारी एक रिपोर्ट में यह खुलासा
464, चेयरमैन ने इंडिया टीवी को दिए एक्सक्लूसिव इंटरव्यू में बताया कि मंगलवार मई या मई से उनकी तैयार की हुई - दवा की कम से कम हजार डोज मार्केट में आ सकती है इस दवा के लिए ने फार्मा कंपनी डॉ रेड्डी के साथ करार किया है ,नई दिल्ली कोरोना काल में निगेटिव खबरों की बाढ़ सी आ गई है ऐसे हालातों में डीआरडीओ की तरफ से एक गुड न्यूज है डीआरडीओ द्वारा कोविड रोधी दवा - विकसित की गई है जिसके आपात इस्तेमाल के लिए डीसीजीआई ने मंजूरी दे दी है रविवार को इंडिया टीवी के जीतेगा इंडिया हारेगा कॉन्कलेव में डी
465,इंडिया टीवी के विशेष कार्यक्रम स्वास्थ्य सम्मेलन में रविवार को केंद्रीय स्वास्थ्य मंत्री डॉ हर्षवर्धन ने बताया देश में क्यों बढ़ रहे कोरोना के मामले ,नई दिल्ली इंडिया टीवी के विशेष कार्यक्रम स्वास्थ्य सम्मेलन में रविवार को केंद्रीय स्वास्थ्य मंत्री डॉ हर्षवर्धन ने कहा कि कोरोना पर सुस्ती के चलते देश में केस बढ़ रहे हैं कोरोना को गंभीरता से लेने की जरूरत है देश आज कोरोना से संघर्ष कर रहा है देश में वैक्सीन की कमी को लेकर पूछे गए सवाल में डॉ हर्षवर्धन ने कहा कि देश में आज हजार से ज्यादा वै
466,उत्तर प्रदेश सरकार ने दावा किया है कि चार साल के कार्यकाल में जितना लाभ अल्पसंख्यकों को मिला है उतना सपा सरकार के पांच साल या पिछली किसी और सरकार के कार्यकाल में नहीं मिला था ,लखनऊ उत्तर प्रदेश सरकार ने दावा किया है कि चार साल के कार्यकाल में जितना लाभ अल्पसंख्यकों को मिला है उतना सपा सरकार के पांच साल या पिछली किसी और सरकार के कार्यकाल में नहीं मिला था योगी सरकार ने केंद्र और प्रदेश सरकार की योजनाओं के अलावा अल्पसंख्यक समुदाय के कल्याण के लिए कमजोर वर्गों को पिछली सरकारों से करोड़ ज्यादा धनराशि दी है ताकि वह भी समाज की
467,राज्यसभा के सभापति एम वेंकैया नायडू ने मंगलवार को विपक्ष के इन आरोपों को खारिज कर दिया कि कृषि संबंधी दो विधेयकों को पारित किए जाने के दौरान मत विभाजन की सदस्यों की मांग पर गौर नहीं किया गया ,नयी दिल्ली राज्यसभा के सभापति एम वेंकैया नायडू ने मंगलवार को विपक्ष के इन आरोपों को खारिज कर दिया कि कृषि संबंधी दो विधेयकों को पारित किए जाने के दौरान मत विभाजन की सदस्यों की मांग पर गौर नहीं किया गया सभापति नायडू ने कहा कि रविवार को कृषि संबंधी विधेयकों पर विपक्ष के हंगामे के दौरान उप सभापति हरिवंश ने बार सदस्यों से अपनी सीट पर
468,रक्षा मंत्री ने कहा कि राष्ट्रीय सुरक्षा के लिए भारत जो भी करता है वह हमेशा आत्म-रक्षा के लिए करता है ना कि अन्य देशों पर हमले के लिए ,नई दिल्ली रक्षा मंत्री राजनाथ सिंह ने पूर्वी लद्दाख के साथ सीमा विवाद के बीच चीन को परोक्ष संदेश देते हुए कहा कि अगर कोई शत्रु देश भारत पर हमला करता है तो हमारा देश मुंहतोड़ जवाब देगा स्वतंत्रता दिवस की पूर्व संध्या पर सशस्त्र बलों को दिये संदेश में सिंह ने कहा कि भारत दिलों को जीतने में भरोसा करता है जमीन जतीने में नहीं उन्होंने कहा
469,मल्लिकार्जुन खड़गे ने कपिल सिब्बल के उस बयान पर पलटवार किया है जिसमें उन्होंने कहा था कि गांधी परिवार को पार्टी का नेतृत्व अब किसी और को सौंप देना चाहिए ,नयी दिल्ली पांच राज्यों में करारी शिकस्त के बाद कांग्रेस के अंदर खलबली मची हुई है सीडब्ल्यूसी की बैठक में सोनिया गांधी ने प्रदेश अध्यक्षों से इस्तीफा मांग लिया वहीं अब पार्टी के अंदर बयानों का दौर भी शुरू हो गया है पार्टी के वरिष्ठ नेता मल्लिकार्जुन खड़गे ने कपिल सिब्बल पर पलटवार करते हुए कहा है कि कपिल सिब्बल एक अच्छे वकील हो सकते
470,कोरोना वायरस संक्रमण की तीसरी लहर में बच्चों को सबसे ज्यादा खतरा होने की आशंकाओं के बीच एक राहत भरी खबर सामने आई है ,नई दिल्ली कोरोना वायरस संक्रमण की तीसरी लहर में बच्चों को सबसे ज्यादा खतरा होने की आशंकाओं के बीच एक राहत भरी खबर सामने आई है दरअसल देश में तेजी से बच्चों के लिए वैक्सीन पर काम चल रहा है इसी कड़ी में भारत बायोटेक की कोरोना वैक्सीन कोवैक्सिन का बच्चों पर क्लिनिकल ट्रायल प्रक्रिया तेज कर दी है सूत्रों के अनुसार पटना के
471,प्रवर्तन निदेशालय ईडी ने आरोप लगाया है कि पश्चिम बंगाल की मुख्यमंत्री ममता बनर्जी के भतीजे और तृणमूल कांग्रेस के सांसद अभिषेक बनर्जी के परिवार को राजनीतिक संरक्षण की गहरी व्यवस्था के तहत राज्य में अवैध कोयला खनन से अर्जित अवैध धन से फायदा हुआ ,नयी दिल्ली प्रवर्तन निदेशालय ईडी ने आरोप लगाया है कि पश्चिम बंगाल की मुख्यमंत्री ममता बनर्जी के भतीजे और तृणमूल कांग्रेस के सांसद अभिषेक बनर्जी के परिवार को राजनीतिक संरक्षण की गहरी व्यवस्था के तहत राज्य में अवैध कोयला खनन से अर्जित अवैध धन से फायदा हुआ ईडी ने पश्चिम बंगाल के पुलिस अधिकारी और बांकुड़ा थाने के प्रभारी निरीक्षक अशोक कुमार मिश्रा की हिरासत बढ़ाने के लिए विशेष
472,पंजाब में बनी आम आदमी पार्टी के मंत्री ब्रह्म शंकर जिम्पा ने दावा किया है कि उनकी सरकार प्रदेश में करप्शन को पूरी तरह से खत्म करेगी जिम्पा ने दावा किया कि जनता के लिए जो काम पिछली सरकारों ने नही किया वो मौजूदा सरकार करके दिखाएगी,चंडीगढ़ भगवंत सरकार में मंत्री ब्रह्म शंकर जिम्पा ने कहा है कि उनकी सरकार समाज के सभी वर्गों के कल्याण के लिए प्रतिबद्ध है और राज्य में अब विकास के एक नए युग की शुरुआत होगी उन्होंने कहा कि आम लोगों को पारदर्शी जिम्मेदार जवाबदेह और आसानी से सुलभ शासन प्रदान करने के लिए भ्रष्टाचार को जड़ से खत्म किया जाएगा उन्होंने यहां अपने कार्यालय में कार्यभार संभालने के
473,आंध्र प्रदेश में चार सौ साल पुरानी भगवान राम की मूर्ति खंडित होने के विरोध में भाजपा ने चलो रामतीर्थम यात्रा निकालने का ऐलान किया है ,नई दिल्ली आंध्र प्रदेश में चार सौ साल पुरानी भगवान राम की मूर्ति खंडित होने के विरोध में भाजपा ने चलो रामतीर्थम यात्रा निकालने का ऐलान किया है भाजपा के नेशनल सेक्रेटरी और आंध्र प्रदेश के सह प्रभारी सुनील देवधर ने मुख्यमंत्री वाईएस जगन मोहन रेड्डी को सावधान करते हुए कहा है कि वे धैर्य की परीक्षा न लें भाजपा ने जगन मोहन रेड्डी सरकार पर धर्म
474,त्योहारी सीजन से पहले यात्रियों के लिए एक बड़ी राहत की बात यह है कि रेलवे ने कोरोनो वायरस के प्रकोप के बाद पहली बार स्टेशनों पर अपने खानपान और वेंडिंग इकाइयों पर पका हुआ भोजन बेचने की अनुमति दे दी है ,नई दिल्ली त्योहारी सीजन से पहले यात्रियों के लिए एक बड़ी राहत की बात यह है कि रेलवे ने कोरोनो वायरस के प्रकोप की बाद पहली बार स्टेशनों पर अपने खानपान और वेंडिंग इकाइयों पर पका हुआ भोजन बेचने की अनुमति दे दी है रेलवे ने कहा कि प्लाजा जन अहार सेल रसोई और जलपान कमरे केवल टेकअवे के लिए खुलेंगे इन इकाइयों
475,कृषि कानूनों को लेकर केंद्र सरकार और किसान नेताओं के बीच वें दौर की बैठक भी सोमवार को बेनताजी रही बैठक खत्म होने के बाद एक किसान नेता कहा कि हमने सरकार को बताया कि पहले कृषि क़ानूनों को वापिस किया जाए पर बात बाद में करेंगे ,नई दिल्ली कृषि कानूनों को लेकर केंद्र सरकार और किसान नेताओं के बीच वें दौर की बैठक भी सोमवार को बेनताजी रही बैठक खत्म होने के बाद एक किसान नेता कहा कि हमने सरकार को बताया कि पहले कृषि क़ानूनों को वापिस किया जाए पर बात बाद में करेंगे तारीख तक का समय सरकार ने मांगा है उन्होंने कहा कि तारीख को हम सोचकर आएंगे कि ये
476, आज सुबह स्वास्थ्य मंत्रालय द्वारा जारी किए गए आंकड़ों के मुताबिक देश में पिछले घंटों में कोरोना संक्रमण के हजार नए मरीज सामने आए हैं इस समय अवधि में हजार मरीज कोरोना को मात देने में भी सफल रहे हैं लेकिन लोगों की जान इस बीमारी ने ली है ,नई दिल्ली देश में कोरोना वायरस की दूसरी लहर प्रचंड रूप लेती दिखाई दे रही है पिछले घंटों में भारत में कोरोना संक्रमण के हजार से ज्यादा मामले सामने आए हैं औऱ से ज्यादा लोगों की मौत हो गई है आज सुबह स्वास्थ्य मंत्रालय द्वारा जारी किए गए आंकड़ों के मुताबिक देश में पिछले घंटों में कोरोना संक्रमण के हजार नए मरीज सामने आए हैं इस समय अवधि में हजार मरीज कोरोना
477,रक्षा मंत्रालय ने कहा कि रॉकेट प्रणाली को उन्नत प्रौद्योगिकी सामने आ रही जरूरतों को पूरा करने के लिए बढ़ी हुई मारक क्षमता के साथ अपग्रेड किया गया है ,नयी दिल्ली और भारतीय सेना ने पोखरण फायरिंग रेंज में पिनाक रॉकेट सिस्टम के नए वर्जन का सफल परीक्षण किया है रक्षा मंत्रालय ने शनिवार को इस बारे में जानकारी देते हुए बताया कि - को पिछले एक पखवाड़े में अलग-अलग स्थानों से दागा गया और इसने हथियारों के लिए निर्धारित सटीकता और निरंतरता के मानकों को पूरा किया
478,वैसे तो प्रधानमंत्री इन दिनों अपने हर संबोधन के आखिर में लोगों से कोरोना से बचने और तमाम सुरक्षा उपायों का अनुसरण करने का आग्रह करते हैं लेकिन ठाकरे की मौजूदगी में महाराष्ट्र में कोरोना की स्थिति पर उनकी चिंता ने सबका ध्यान आकर्षित किया ,नई दिल्ली महाराष्ट्र में धार्मिक स्थलों को खोले जाने की मांग के बीच प्रधानमंत्री नरेंद्र मोदी ने मंगलवार को मुख्यमंत्री उद्धव ठाकरे की मौजूदगी में राज्य में कोरोना की स्थिति को लेकर चिंता जताई प्रधानमंत्री पूर्व केंद्रीय मंत्री बालासाहेब विखे पाटिल की आत्मकथा के विमोचन के अवसर पर वीडियो कॉन्फ्रेंस के जरिए आयोजित एक कार्यक्रम को संबोधित कर रहे थे इस कार्यक्रम में महाराष्ट्र के मुख्यमंत्री के अलावा पूर्व मुख्यमंत्री
479,काबुल एयरपोर्ट को कमर्शियल फ्लाइट्स के लिए बंद कर दिया गया है जिस वजह से एयर इंडिया की फ्लाइट आज काबुल नहीं जा पाएगी एयर इंडिया की फ्लाइट आज दोपहर बजे काबुल जानी थी ,नई दिल्ली काबुल एयरपोर्ट को कमर्शियल फ्लाइट्स के लिए बंद कर दिया गया है जिस वजह से एयर इंडिया की फ्लाइट आज काबुल नहीं जा पाएगी एयर इंडिया की फ्लाइट आज दोपहर बजे काबुल जानी थी दरअसल कल शाम को तालिबान के लड़ाकों के काबुल शहर में एंट्री के बाद ही न सिर्फ विदेशी नागरिकों बल्कि बहुत बड़ी तादाद में अफगानी नागरिकों की काबुल एयरपोर्ट पर भीड़
480,कांग्रेस की पंजाब इकाई के प्रमुख नवजोत सिंह सिद्धू ने पार्टी आलाकमान सोनिया गांधी को पत्र लिख कर राज्य सरकार के वादों को अवश्य पूरा किये जाने पर जोर दिया और के विधानसभा चुनाव घोषणापत्र में शामिल किये जा सकने वाले अपने सूत्री एजेंडा को प्रस्तुत करने के लिए उनसे मिलने का समय मांगा है ,नई दिल्ली/चंडीगढ़ पंजाब प्रदेश कांग्रेस कमेटी के अध्यक्ष नवजोत सिंह सिद्धू ने कांग्रेस पार्टी की अंतरिम अध्यक्ष सोनिया गांधी को चिट्ठी लिखी है के मेनिफेस्टो के लिए सूत्रीय एजेंडा को लेकर चिट्ठी लिखी है और सिद्धू ने एजेंडे को मेनिफेस्टो में शामिल करने की मांग की है साथ ही सिद्धू ने सोनिया गांधी से मिलने का समय भी
481, रांची में भर्ती राजद प्रमुख लालू प्रसाद यादव का इलाज करने वाले डॉक्टर उमेश प्रसाद का कहना है कि लालू प्रसाद यादव की किडनी प्रतिशत फंक्शन कर रही है कभी भी उनकी किडनी काम करना बंद कर सकती है ,रांची चारा घोटाला मामले में सजा काट रहे आरजेडी सुप्रीमो लालू प्रसाद यादव के स्वास्थ्य को लेकर एक बड़ी खबर आ रही है रांची के राजेंद्र इंस्टीट्यूट ऑफ मेडिकल साइंसेज रिम्स अस्पताल में डायबीटिज और हाई ब्लड प्रेशर का इलाज करा रहे लालू प्रसाद यादव के स्वास्थ्य को लेकर डॉक्टर का कहना है कि राजद सुप्रीमो लालू प्रसाद यादव की तबियत कभी भी बिगड़ सकती
482,गांवों में प्रधानी का क्रेज इस कदर हावी है कि कुछ प्रत्याशियों ने पिछड़ी जातियों में शादी भी कर ली ताकि आरक्षण सूची में इसका लाभ मिल सके लेकिन मुरादाबाद में नई आरक्षण लिस्ट ने चुनावी बिसात बदल दी है ,मुरादाबाद उत्तर प्रदेश में होने वाले त्रिस्तरीय पंचायत चुनाव को लेकर राज्य निर्वाचन आयोग तैयारियों में जुट गया है इधर गांवों में प्रधानी का क्रेज इस कदर हावी है कि कुछ प्रत्याशियों ने पिछड़ी जातियों में शादी भी कर ली ताकि आरक्षण सूची में इसका लाभ मिल सके लेकिन मुरादाबाद में नई आरक्षण लिस्ट ने चुनावी बिसात बदल दी है प्रधानी के लिए
483,विदेश मंत्रालय के प्रवक्ता अरिंदम बागची ने कहा अफगानिस्तान में हालात पर उच्च स्तर पर लगातार नजर रखी जा रही है सरकार भारतीय नागरिकों और अफगानिस्तान में हमारे हितों की रक्षा और सुरक्षा के लिए सभी संभव कदम उठाएगी ,नयी दिल्ली अफगानिस्तान की राजधानी काबुल में स्थित भारतीय दूतावास में मौजूद राजनयिकों की सुरक्षा की जिम्मेदारी भारत-तिब्बत सीमा पुलिस के सशस्त्र बलों की टुकड़ी को सौंपी गई है और वे जब तक जरुरत होगी वहीं मौजूद रहेंगे अधिकारियों ने सोमवार को इस आशय की जानकारी दी अधिकारियों ने बताया कि आईटीबीपी के कर्मी वहां देश में मौजूद अंतिम कुछ राजनयिक
484,केंद्रीय स्वास्थ्य मंत्रालय ने मंगलवार को कहा कि राज्यों केंद्रशासित प्रदेशों एवं निजी अस्पतालों के पास लगाने के लिये अभी कोविड- टीके की करोड़ से अधिक खुराक है ,नई दिल्ली केंद्रीय स्वास्थ्य मंत्रालय ने मंगलवार को कहा कि राज्यों केंद्रशासित प्रदेशों एवं निजी अस्पतालों के पास लगाने के लिये अभी कोविड- टीके की करोड़ से अधिक खुराक है मंत्रालय ने बताया कि राज्यों एवं केंद्रशासित प्रदेशों को अभी तक सभी माध्यमों से करोड़ से अधिक खुराक दी गई है और लाख से अधिक खुराक उन्हें पहुंचाई जाएगी मंगलवार को सुबह आठ बजे
485,इटावा जिले के बिठौली क्षेत्र में एक नाबालिग लड़की को कथित तौर पर अगवा करके ले जा रहे लोगों की कार अनियंत्रित होकर यमुना नदी में गिर गई और इस घटना में किशोरी समेत तीन लोगों की डूबने से मौत हो गई ,इटावा उप्र इटावा जिले के बिठौली क्षेत्र में एक नाबालिग लड़की को कथित तौर पर अगवा करके ले जा रहे लोगों की कार अनियंत्रित होकर यमुना नदी में गिर गई और इस घटना में किशोरी समेत तीन लोगों की डूबने से मौत हो गई प्रभारी वरिष्ठ पुलिस अधीक्षक अपर्णा गौतम ने बुधवार को बताया कि - जनवरी की दरमियानी रात औरैया जालौन और इटा
486,चीन के ग्लोबल टाइम्स ने गलवान वैली झड़प का वीडियो पोस्ट किया है तीनी सैनिकों की झड़प का मिनट सेकेंड का वीडियो जारी किया है चीन ने पहली बार माना गलवान में उसके सैनिक भी मारे गए थे ,चीन के ग्लोबल टाइम्स ने गलवान वैली झड़प का वीडियो पोस्ट किया है भारतीय और चीनी सैनिकों की झड़प का मिनट सेकेंड का प्रोपेगेंडा वीडियो जारी किया है दरअसल शनिवार को डिसइंग्जेमेंट की अगली प्रक्रिया को लेकर माल्डो में भारत और चीन के प्रतिनिधियों की एक बैठक होनी है और उसी बैठक से पहले चीन ने दबाव बनाने के लिए गलवान में
487,बयान में कहा गया आईएनएस रणवीर नवंबर से पूर्वी नौसैन्य कमान से क्रॉस कोस्ट अभियान तैनाती पर था और जल्द ही बेस पोर्ट पर लौटने वाला था ,मुंबई महाराष्ट्र की राजधानी मुंबई में नौसैन्य डॉकयार्ड में भारतीय नौसेना के जहाज में मंगलवार को हुए ब्लास्ट में नौसेना के कर्मी शहीद हो गए भारतीय नौसेना ने बयान में कहा मुंबई नौसैन्य डॉकयार्ड में एक दुर्भाग्यपूर्ण घटना में आईएनएस रणवीर के एक आंतरिक कक्ष में विस्फोट के कारण नौसेना के तीन कर्मियों की मौत हो गई इसमें कहा गया कि
488,कर्नाटक सरकार ने महाराष्ट्र केरल और गोवा से आने वाले यात्रियों के लिए अनिवार्य आरटी-पीसीआर जांच को जारी रखने का फैसला किया है सरकार ने जनवरी से रात्रिकालीन कर्फ्यू हटाने और पहली से नौवीं कक्षा तक के लिए स्कूल खोलने का भी शनिवार को फैसला किया ,बेंगलुरु कर्नाटक सरकार ने जनवरी से रात्रिकालीन कर्फ्यू हटाने और पहली से नौवीं कक्षा तक के लिए स्कूल खोलने का शनिवार को फैसला किया सरकार ने महाराष्ट्र केरल और गोवा से आने वाले यात्रियों के लिए अनिवार्य आरटी-पीसीआर जांच को जारी रखने का भी फैसला किया कर्नाटक के राजस्व मंत्री आर अशोक ने मुख्यमंत्री बसवराज बोम्मई की अध्यक्षता में विशेषज्ञों एवं अधिकारियों की एक
489,पूनावाला ने यह भी कहा कि वह कोरोना वायरस के अलग-अलग वैक्सीन की खुराक देने के पक्ष में नहीं हैं ,पुणे सीरम इंस्टीट्यूट ऑफ इंडिया एसआईआई के अध्यक्ष साइरस पूनावाला ने शुक्रवार को यहां कहा कि कोविशील्ड की दो खुराक के बीच आदर्श अंतर दो महीने का है और वैक्सीन की एक और खुराक छह महीने के बाद ली जानी चाहिए एसआईआई द्वारा निर्मित वैक्सीन कोविशील्ड से पैदा होने वाले कोरोना वायरस-रोधी
490,भारत में कोरोना की चौथी लहर के आने की आशंका जताई जा रही है सांख्यिकीय भविष्यवाणी के अनुसार चौथी लहर कम से कम चार महीने तक चले सकती है ,कोरोना की तीसरी लहर तेजी से कम होने की खबर हमें दिलासा दे ही रही थी कि चौथी लहर की भविष्यवाणी ने फिर चौंका दिया है आईआईटी कानपुर की रिसर्च में आशंका जताई है कि देश में चौथी लहर जून के आसपास शुरू हो सकती है जो अक्टूबर तक यानी महीने चल सकती है यह सांख्यिकीय भविष्यवाणी हाल ही में प्रीप्रिंट सर्वर पर पब्लिश
491,उत्तर प्रदेश के मथुरा जिले में यमुना एक्सप्रेस-वे पर आधा दर्जन बदमाशों ने दिल्ली से हमीरपुर जा रही निजी बस में सवारी के रूप में चढ़कर उसे बंधक बना लिया और तकरीबन सभी सवारियों से लाखों रुपये का सामान लूट किया ,मथुरा उत्तर प्रदेश के मथुरा जिले में यमुना एक्सप्रेस-वे पर आधा दर्जन बदमाशों ने दिल्ली से हमीरपुर जा रही निजी बस में सवारी के रूप में चढ़कर उसे बंधक बना लिया और तकरीबन सभी सवारियों से लाखों रुपये का सामान लूट किया घटना की जानकारी मिलने पर आगरा रेंज के पुलिस महानिरीक्षक समेत तमाम वरिष्ठ अधिकारी मौके पर पहुंचे पुलिस बदमाशों की खोज में जुट गई
492,महाराष्ट्र में वर्षीय वयोवृद्ध महिला और उनकी वर्षीय पुत्री ने कोरोना वायरस संक्रमण को शिकस्त देकर लोगों को सामने एक मिसाल पेश की है ,जालना महाराष्ट्र में वर्षीय वयोवृद्ध महिला और उनकी वर्षीय पुत्री ने कोरोना वायरस संक्रमण को शिकस्त देकर लोगों को सामने एक मिसाल पेश की है एक अधिकारी ने शुक्रवार यह जानकारी दी जालना शहर के एक अस्पताल में भर्ती वयोवृद्ध महिला उनकी बुजुर्ग पुत्री तथा उनके परिवार के तीन अन्य सदस्यों को बृहस्पतिवार को छुट्टी दे दी गई जिला सिविल सर्जन अर्चना भोंसले ने
